reviews,Performance and Stability,Payment,Content,Satisfaction
Aplikasi ini bagus menurut ku buat nonton......tapi mohon lah di kurangin iklan nya masa saya nonton sedikit iklan nya banyak trus lama lagi iklan nya mohon di perbaiki lagi maaf saya ksih bintang 2!!!!!!!!!!,,,neg,neg
Banyak banget iklan. Mending kalo iklannya di acara siaran ulang. Ini lagi live streaming banyak iklan. Mana gak di jeda dulu siarannya. Jadi banyak yang kelewat. Mendingan nonton youtube. Walopun banyak iklan tapi kalo lagi live gaada iklan. Jadi masih ttep nyambung. Gaada dialog yang kepotong potong,,,neg,
"Aplikasi apa ini saya kecewa dengan aplikasi video,...pas saya nonton live striming ko tiba tiba kembali dan mengalami elor ada apa dengan aplikasi video???",neg,,,neg
"Jangan didownload saat mengecewakan, sllu kualitas streaming vidio g bisa HD sllu turun mnjdi 360 kayak nonton tv jam dulu !!! Pokokya jgn di Instal sangat mengecewakan ASLI jelek bgt !!!!!",neg,,,neg
"Ini app bagus menurut saya, mungkin banyak yang ngeluh buffering atau banyak iklan Kalau banyak iklan saya si belum ngalamin sama sekali Mungkin itu nonton live ya? Kalau mau nonton film biasa download aja biar ga kena iklan sekaligus buffer terus2an",pos,,pos,pos
Saya sudah memebeli melalui ovo. Saldo sudah terpotong dan palet tetap tidak bisa dibuka.. Setelah saya cek pembelian paket gagal tetapi saldo tidak kembali ..parahhhh bangggkkeeeeee,,neg,,neg
"Sedikit saran, klau mau ngasih iklan itu jangan terlalu banyak, sangat mengganggu, gk masalah sih klaw ada iklan cuman 1 sampai 2kali cman klau lebih dari itu sih gk wajar, saya mau nonton sinetron bukan nonton iklan, apalagi iklan ny tidak bisa di skip",,,neg,neg
Paket premier saya sudah beli dengan harga 32rb dan tercantum batas 1 bulan lah tapi kenapa saya belon 1bulan sudah harus di suruh paket premier lagi. Dan kenapa ketika saya mau isi lagi tercatat eror karena saya mari masih dalam masa perlanganan TOLONG BANGET INI MAH,,neg,,neg
"Hello Vidio. Tanggal 5 Sept 2022 lalu sy aktifkan paket Diamond (All Platinum & EPL) untuk semua perangkat seharga Rp 632.000 by Dana. Kenapa akses sy untuk menonton EPL dll melalui TV Android tidak bisa, padahal di minggu pertama masih bisa sy akses by TV. Sedangkan kalau melalui HP dan Tablet baik2 saja, padahal paket sy untuk SEMUA PERANGKAT. Mohon penjelasan dan aktifkan akses sy ke perangkat TV. Terimakasih sebelumnya.",neg,,,
Kenapa sekarang sering ngebug pas nonton. Di back beralih ke layar kecil ngebug dan susah banget buat di close. Padahal sebelumnya lancar2 aja. Tolong lebih diperbaiki lagi Terimakasih,neg,,,neg
Lumayan bagus tpi banyak banget iklannya 🥲,,,neg,pos
"Aplikasinya lemot banget,muter2 melulu padahal sinyal hp bagus",neg,,,
iklan nya terlalu deket durasinya,,,neg,
"Kalau emang nggak bisa, aku keluar dari siaran inilah sampai developernya mengembalikan siaran yang aku mau karena siaran yang aku mau nonton itu sangat penting buat aku nonton animasi.",,,neg,
"Sebenernya aplikasi nya bagus cuman mungkin beberapa bug harus diperbaiki. Saya waktu mau berlangganan mode premier, saat saya pencet buat beli mode premier malah kembali ke beranda awal",neg,,,pos
"Udah bagus tidak ada bug atau pun loading lama, loading hanya pada saat daftar dan juga verifikasi kode. Tapi yang bikin kesel itu vidio tidak menyediakan layanan free untuk eps 3 dan seterusnya jujur sih ini bikin pusing apalagi pas mau beli voucher ribet baget.",pos,neg,,neg
"Sering buffering, tidak seperti aplikasi sebelah.. Poor Server Ngapain harus kirim feedback lewat aplikasi atau email.. lewat sini juga udah termasuk feedback, keluhannya sama semua. Harusnya bisa segera di tindak lanjuti",neg,,,neg
Asu beli pakt premier pulsa di ambil tp paket blm aktip. Tingkatkan dong asu layanan nya bukan malah nipu,,neg,,neg
Kenapa ya sekarang sering terjadi crash pada gambar video? Suara keluar tp video nya stuck freeze ? Setiap beberapa detik bgtu trus. Kl bgni trus ri uninstal aja lama lama. Udh berbayar premium loh,neg,,,neg
cukup bagus cuma iklannya kepannjangan,,,neg,pos
Jujur kenapa sekarang apk ini sering koneksinya jelek ya padahal sinyal disini buat buka apk lain lancar² aja tapi buat buka vidio malah reconnect terus.. Padahal dulu nggal lo tapi sekarang malah gini kualitasnya 🙏🏻,neg,,,neg
sudah bagus aplikasinya.. nonton di android tv lancar.. koleksi film barat drakor original series olahraga lengkap bisa selalu ditambah.. biaya langganan murah..next kalo jadi nayangin EPL harga langganan jangan mahal2 yah..dan subtitlenya diperbaiki.. keciill bangeettt.. ditingkatkan lagi kualitasnya..,pos,pos,pos,pos
Bagus sih tapi banyak banget iklan nya,,,neg,pos
"Banyak iklan,banyak yg ndk support tayangan di tv dan ndk bsa rewind. Klo bayar gtu bisa rewind dan bisa nonton yang dibatasi? Karena saya mau nonton tv tanpa iklan,bisa rewind dan program tertentu bisa saya nikmati di tv normal. Klo bisa saya beli",neg,,neg,
sangat puas cuman kebanyakan iklannya,,,neg,pos
Aplikasinya bagus. Tapi tolong kualitas siaran bolanya bisa sampai 2160p. 1080nya masih kurang enak ditonton. Kecerahan siaran bola di vidio masih kalah dngan M**a. Semoga bisa segera dievaluasi,neg,,,pos
Harusnya nayangin FP F1 tapi malah nayangin yang lain. Kan beli paket judulnya premium + F1 ya,,,neg,
"👎Apk jelek👎iklannya nonton gratis di aplikasi, saat download apk nya dan mau nonton live bola indo, di haruskan beli paket khusus, emang kita orang luar apa? mafia juga. mending nonton siaran luar. cukup punya data bisa nonton apapun mau nontong piala dunia, euro, liga Inggris, apapun gak masalah.",,neg,,neg
"sering mengalami kendala teknis pemutaran video,,, suara lanjut dan gambar terhenti, nyesal udah langganan vidio, mohon di tingkatkan sistem nya",neg,,,neg
Sudah bagus.. Lebih tambah juga film kungfu cina yg menarik jalan ceritanya. Tolong di permudah untuk cara mengubah langganan nya dari 7 hari ke 1 thn karena lewat aplikasi langsung masih susah. Terima kasih.. Maju terus...!!,,neg,neg,pos
Gimana si min? Setiap udah beli premier tapi ga langsung aktif.. Kecewa berat,,neg,,neg
Semenjak di perbarui harus premium agar bisa nonton the series🤬,,neg,,
"Vidio gblk aplikasi ga guna orang Mau nonton malah disuruh langganan,kasian woy orang yang ga mampu mau nonton juga tapi ga bisa langganan tlol, aplikasi ga guna",,neg,,neg
Saya berlangganan platinum sudah setahun lebih. Tapi belakangan vidio com banyak kelemahan. Nonton di websitenya susah. Chanel Indosiar dan SCTV saja tidak bisa muncul gambar. Jadi tidak bisa nonton liga 1 dan liga Champions. Di aplikasinya kadang juga sering buffering. Padahal koneksi internet kuat. Mohon diperbaiki. Saya kasih rating 2. Jika masih seperti ini mending uninstall saja. Pindah aplikasi lain.,neg,,,neg
"Sampah Berlangganan Bukanya Tambah Baik Malah Tambah Buruk, Tolong Di Perbaiki Bug Nya, ....🤬",neg,,,neg
setiap di episode 3 selalu tidak bs memutar video sudah terjadi ketika saya menonton sexy doctor is mine dan pertaruhan the series.. ini maksdnya apa? dan kejadian ini membuat saya selaku pengguna baru serasa tidak puas..,neg,,,neg
"Jangan mahal-mahal, ini +62 zaman internet. Kesempatan bersaing dengan Netflix, HBO dll. Lalu permudah/ pe-ringan lagi aplikasinya apabila dibuka janganlah berat kayak (maaf) aplikasi t****sel dan apk. Ma**tr*am dibuka nya kok berat? Nggak berubah. Trmksh",neg,neg,,
Kebanyakan iklan dari vidio nya sendiri,,,neg,
Aplikasi bagus dan menarik. Yang paling unggul dari aplikasi ini adalah pilihan video yang begitu banyak sehingga terkesan menarik serta memberikan semangat untuk menonton video maupun film kesukaan kita. Klik apa saja yang penting WiFi dan paket data kencang di jamin nontonnya sampai muntah alias klimaks memuaskan mata dan pikiran.,,,pos,pos
"Lain kali diperhatiin lagi kalo mau premium apk ini, 2 kali saya coba premium saldo udh di potong tapi apk nya blum premium. Sudah coba laporkan 2 kali, tapi tidak ada bantuan sama sekali. Saya kecewa, padahal saya sudah memberikan bukti bahwa saldo saya sudah terpotong.",,neg,,neg
"Beli paket premier 29rb+pajak total 32rb pake pulsa 36rb ga bisa, udah di bela belain isi pulsa malah ga bisa, padahal dulu biasanya bisa.. Kecewa min",,neg,,neg
Udah beli paket tapi di status paket aktif gak tertera parah,,neg,,neg
"Ini knpa yaa channel trans7 kok jdi ngga bisa tayang ulang? Biasanya bisa, sejak ada acara motogp kok malah gabisa nonton yg kmarin"".. Tolong dong agar trans7 bisa d lihat ulang acaranya",neg,,,
"Aplikasi nya bagus, tapi kenapa banyak bug ya, pas ada iklannya, iklannya malah berhenti, jadi harus nonton ulang lagi, jadi ga nyaman bgt, mohon di perbaiki dong iklannya👍",neg,,,neg
"jelek banget. awal awal sih oke tapi lama lama tiap mau nonton film ada tulisan ""masalah pada jaringan"" terus padahal jaringan kita bagus loh ini lancar lancar aja buat yg lain juga. knapa cuma ini aja ya? tolong dong diperbaiki, kecewa banget. makasi.",neg,,,neg
Menurut fakta Warsawa aplikasi ini masih belum bisa memenuhi kriteria aplikasi nonton yang memiliki performa yang bagus karena masih banyak kekurangan @tolong diperbaiki sering terjadi error' di Vidio dan Vidio yang sering mengalami stuck loading,neg,,,
"Buat Streaming buffering ...super lemot .sangat tidak disarankan.. ini sangat ganggu dan buang2 waktu.padahal kuota masih banyak ,,pake wifi juga ada ... Buat streaming aplikasi lain juga lancar2 aja.ternyata masalahnya di Aplikasi Vidio nya ini.ampunnn udah ngeluarin dana buat langganan tapi kek gini.. anyng. buat developer nya silahkan aplikasinya diperbaiki lagi. Trimakasih.",neg,,,neg
"Saya download ini karena ada bonus paket platinum vidio dari xl. Tampilan bagus, streaming video gak pernah ngelag atau panas karena aplikasinya sangat ringan. Tapi perlu diperhatikan filmnya kurang banyak:( film Thailand nya ga ada atau ada tapi sedikit ya? Saya cari film cooming soon ga ada katanya sih ada di vidio. Tolong untuk developer nya banyak-banyak kasih film nya terus kurangi upload video ga jelas. Kalo bisa ditambahin film boyslove gitu hehehe^^",pos,,neg,
"Sangat bagus ,dan jernih namun banyak iklan jujur di saat lagi nonton eh malah iklan ,udah iklan nya 2 lagi kadang kadang untung ada skip waktu tapi kadang ada juga yang gak ada skip waktu",pos,,neg,
Aplikasi streaming paling BURUK! Sudah melakukan transaksi ke platinum bahkan saldo gopay sudah langsung berkurang. Tetapi status masih saja menunggu. Akibatnya tetap tidak bisa menonton live streaming! SANGATLAH BURUK!!!!!!,,neg,,neg
Gua udah beli voucher tapi gak bisa di aktigin padahal imail nya udah bener tapi malh kode nya gak guna,,neg,,
Tetap langganan karena terpaksa. Mau beli paket langganan aja ribet. Apalagi kalau lagi live bola....hmmm sering banget EROR padahal sudah paket langganan.,neg,neg,,
"Sering bug video tidak lancar. Padahal wifi di rumah setabil. Apalagi kalo acara live sering buffering, sering loading dan suka ngbug. Tolong benerin lah",neg,,,neg
Tahun kemarin sy selalu berlangganan dan gampang metode pembayarannya.. tapi sekarang metode pembayarannya malah tambah ribet jadi saya sedikit kecewa.,,neg,,neg
Saya kasih bintang 3 karena selama saya pake lebih banyak iklan nya tolong kepada developer kurangi iklannya saat lagi nonton Vidio kalo misal nya iklannya lebih banyak lagi saya akan mundur dari Vidio bukan saya aja yang mundur tetapi semua orang yang nonton Vidio jadi kalo mau aplikasi ini laris dan banyak orang instal maka nya kurangi iklannya mohon maaf kalo ada kata kata ku yang menyakitkan developer tetapi hanya sarani biar aplikasi ini banyak intal dan suka sama aplikasi ini,,,neg,neg
"Aplikasi lokal terbaik sejauh ini. Channel lengkap, semua serba mudah (pembelian, pembayaran, pindah pindah channel gak ribet kayak aplikasi sebelah) dan satu lagi, belum pernah ngambeg saat2 ada big match atau race seru yang menentukan. Saran: tambahin donk channel kajian Islam. Thanks..",pos,pos,pos,pos
"Pulsa gw udah kesedot 36 ribu tapi belum berlangganan, tolong ditindak lanjuti lah pihak vidio !!!!!!",,neg,,neg
"Iklan nya babi banget , Dan buffering nya lama banget tolong diperbaiki masalah buffering nya soal nya ganggu banget kalo iklan sih gapapa masih bisa Maklumin lah, karena internet saya lancar bahkan buat streaming YouTube lancar banget kok bisa buffering lama banget gak tahan yakin.🥵",neg,,neg,neg
"Halo pihak aplikasi Vidio, Saya sudah melakukan pembayaran paket premier, tapi setelah pembayaran berhasil kenapa tidak bisa digunakan ? Mohon diperbaiki lagi sistemnya.... Kalo kayak gini ya rugi saya sudah bayar tapi tidak bisa nonton film yang mau saya tonton !! Ditunggu i'tikad baiknya .... Makaseh",,neg,,neg
Gw sedih iklannya banyak banget😭😭 melebihi iklan youtube,,,neg,neg
"Beli paket langganan niatnya biar bisa nonton liga champions, eh live streamingnya malah nge-freez mulu (bukan buffering karena koneksi internet lancar), jadinya mesti di reload terus page-nya setiap nge-freez, parah masih kurang pro aplikasinya, tolong lah diperbaikin masalah itu",neg,,,neg
"Kecewa banget sama vidio, udah beli langganan platinum EPL, sudah aktif juga paketnya tapi tetep gak bisa nonton, cuman muter2 aja. Padahal yg lain lancar, tapi nonton EPL sama timnas malah gak bisa. Padahal saya beli paket platinum+EPL biar bisa liat itu. Kecewa banget sumpah.",neg,neg,,neg
"Cukup bintang 1 untuk aplikasi seperti ini, yang pertama iklan di aplikasi ini sampai 1menit yang ke dua semua film di aplikasi ini harus berlangganan, lebih baik nonton di bstation tidak ada iklan gratis lagi, saya sudah tau jawaban kalian kalau tidak mau ada iklan harus berlangganan kan, sudah basi hal seperti itu",,neg,neg,neg
"Baik sih,,, pertama saya langganan dengan metode pembayaran via pulsa bisa kedua kalinya saya bayar dengan pulsa tidak bisa dengan keterangan pulsa tidak cukup, padahal pulsa saya sudah melebihi cukup,,,, jadi hilang rasa buat perpanjang lagi gak bagus",,neg,,neg
"Awal download app ini bagus bagus aja film yang di cari ternyata ada di app ini sampai rela rela berlangganan premier demi nonton film di app ini tapi kenapa pas nonton eps 50an tiba tiba film yang kita nonton itu hilang ga ada muncul. Tolong dong di kembalikan lagi film yang tiba tiba menghilang itu, udah nanggung banget soalnya nonton eps 50an",,,neg,
"Aplikasi live streaming terburuk yg pernah ada, mau berlangganan berapa pun tetap saja kualitas aplikasi buruk, sering eror saat menonton live streaming sepakbola ntah kapan di perbaiki saya tidak tahu yg jelas masalah seperti ini sudah terus di komplen tapi tidak ada perbaikan sama sekali. MENYEDIHKAN 👎",neg,,,neg
Langganan paket diamond tapi vidio tidak bisa dputar pdahal signal lancar 🤔,neg,,,
"Saya kasih 2 dulu, soal nya masih banyak bug yg saya rasa perlu di perbaiki, semisal setelah iklan mau selesai buffering lama banget, malahan kadang harus ngulang lagi dari awal",neg,,,neg
"untuk kelancaran videonya sudah oke ada iklan ga masalah l,tapi tolong diperbaiki untuk masalah iklannya ,masa sering ngelag waktu iklan padahal jaringan normal² aja jadi bikin ga mood👎 payah!!!!",neg,,,neg
"Maaf vidio, saya sudah berlanganan bulan lalu dan sudah habis waktunya, dan saya ingin memperpanjang lagi 1 bulan ini, tetapi tertulis eror dan mengatakan saya sudah berlanganan 1 bulan dan di riwayat transaksi terus tertulis menunggu, pembayaran sedang berlangsung. Padahal pulsa saya cukup dan biasanya akan dilanjutkan ke pembayaran tetapi hanya smpai di ringkasan aja karena eror. Mohon bantuannya",neg,,,
"Mohon di perbaiki lagi aplikasinya, banyak sekali bug,dan kalau lagi nonton selalu ada tulisan mohon maaf lagi gangguan padahal sinyal bagus. udah langganan tapi buffer terus jadi tdk nyaman nonton",neg,,,neg
"Tambah jelek aja Vidio, yang tadinya jarang banget ada iklan skrng lebih bnyk iklan pdhal cmn nonton FTV doang. Tambahannya jaringan stabil buat apk lain bagus ko lancar lancar aja tapi kenapa pke apk Vidio doang yang kalau iklan terjeda muternya lama bgt padahal udah coba buat matiin WiFi nyalain WiFi lgi tpi ttep aja gaada yg rubah tolong dong perbaiki lgi kualitasnya, tidak memuaskan penonton.",neg,,neg,neg
"Ada iklan tiap masuk tayangan. Iklan masuk tayangan lama dan tidak bisa di skip, ""iklan lancar siaran ngelag"".",neg,,neg,
Emang g bisa pake jaringan WiFi ya.. ko suruh langganan aja,,neg,,
"Jadi jelek bngt apknya setelah di update, jadi eror terus.",neg,,,neg
👍👍👍👍👍 Klo bole. pemutar videonya di tingkatkan lagi.,neg,,,
"Error mulu kalau masukkan nomor HP, jadi harus nunggu sejam, cara redeem voucher atau beli di operator juga ribet banget, entah harus masuk web lah, direfresh lah, di apknya sendiri nggak ada menunya aneh. Bikin emosi duluan sebelum nonton. Males buang waktu",neg,neg,,neg
"Oiii tolong lah masa jaringan udah bagus tapi aplikasi nya nge lag terusss ngotak dikit lah,terus iklan nya banyak lagi,lu kira nonton nya gak kesel lagi enak enak nonton iklan muncul mana banyak banget,update lah tolong.sampah benerr aplikasi nih",neg,,neg,neg
sangat bagus dan sinyalnya pun bagus gambar bersih dan cerah,pos,,,pos
"Saya sudah langganan, tapi tetep ga bisa nonton liga inggris",,neg,,
Apps kok kebayakan iklan tolong dong di kurangi iklan nya..?,,,neg,
"Tolong direspon laporan saya, sudah sejak kemarin saya bikin laporan dan tetap tidak ada respon sama sekali, dana saya hilang begitu saja tanpa seizin saya !!!!!",,neg,,neg
"Kenapa gak bisa di perpanjang padahal saldo melebihi dr harga premier platinum. Selalu error' klo pas pembayarannya. Gimana nih!! Padahal bayar pake gopay,dana,ovo,pulsa,debit Uda di coba semua ttep error'.",neg,,,
"Untuk mendaftakannya tidak jelas,Di awal bilangx beli paket premium,eh.. pas mau beli ternyata mutar2 jalurnya.... terpaksa saya uninstall lagi deh... bikin penuh memori hp saja",neg,,,neg
Min saran saja dong untuk kedepannya supaya untuk yg pengguna baru di gratiskan selama 30 hari Min. Soalnya saya ingin menonton acara televisi seperti liga champions. Tanpa berbayar kita tidak bisa menonton acara televisi. Setiap orang kan tidak bisa membayar Min seperti saya. Jadi saya mohon kepada developer untuk pengguna baru seperti saya di gratiskan nonton acara televisi selama tiga puluh hari. Saya mendukung jika ada iklan nya asalkan untuk pengguna baru di gratiskan nonton di aplksi video,,neg,,
Susah amat...pass login iya cepet pas mau liat live malah susah padahal sinyal bagus yg lain aja bisa kebuka live ny dg enak ini mah susah patah patah... Maaf gua unistl aja ga guna amat app ny.,neg,,,neg
Mau beli premium kok ga bisa padahal pulsa banyak,,neg,,
"Mau streaming team kesayangan... Malah link videonya isinya balap mobil.... Kan gak profesional bgt... Ini bayar loh, bukan gratis",,,neg,neg
"Kebanyakan iklan gak mutu. Astaghfirullah. 10 menit mau nonton bola kena iklan, di close masuk lagi gitu terus tetep iklan gada abis nya. Ini bayar lo, bukan gratisan. Kalo gratisan gpp. Karena ini bayar, lumayan semusim. Di kasarin ntar ngelaporon balik, gak di kasarin pura pura pinter.",,,neg,neg
"Sudah berlangganan, dudah bayar tp.tidak aktif!!",,neg,,
"mohon tingakatkan lagi,,kadang masih suka ngelag",neg,,,neg
"kenapa sekarang beli paket pakai telkomsel gk bisa,kalo dulu pakai im3 gk bisa mintanya pakai paket telkomsel. kenapa di saat sudah laris malah suka mempersulit. dulu pertama kali beli paket cuma 35 sekarang naik"" terus. bikin jengkel aplikasi ini,kalo belum terlanjur gk usah download bos,kamu akan kecewa.",,neg,,neg
Sebaik nya ada layanan vip agar iklannya dihilangkan gpp deh berbayar juga,,,neg,
"Paketan epl mahal, lebih murah mola tv, tolong lah turunin paket buat epl aja, kasih paket khusus epl aja",,neg,,
"Kak, saya sudah beli paket. Cuma kok bentar aja ya aktifnya? Belum sampe 30 menit udh g aktif paketnya dan malah disuruh beli paket lagi. Mohon pencerahan dan bantuannya kak🙏🙏",,neg,,
Aplikasi nya sangat bagus oh iya jangan lupa tambahin film Shaolin (2011) sama film Shin Godzilla ya. aku kasih bintang lima ya,,,neg,pos
"Saya suka pertahankan, hanya sedikit bug yg harus diperbaiki.",neg,,,pos
Banyak banget iklan nya 30 detik lagi ya ga bisa di skip mending kalo sekali 2x lah ini banyak banget,,,neg,
"Waktu iklan sering error buffering, jadi ulang dari awal lagi. Ngebug error ga jelas 😕",neg,,,
"Lemot, banyak iklan, banyak bayar",neg,neg,neg,
"Customer Servicenya ga guna, mau verifikasi nomor hp 10x pun g bisa, percuma saya beli paket premium, aplikasi yang sangat buruk untuk penonton sepak bola tanah air",,neg,,neg
"Suda beli paket malah ga aktif paketnya, ga ada admin yg bisa memproses langsung kendala customer",,neg,,
tobaatt... aq dgn ApK ini... dulu pernah daftar premium di akun laen aku.. hasilnya parah abiss.. udh premium tp iklan ada trus... depolovernya kurang dana kalee masiih butuh incame dari iklan.. dari dlu gituu trus katanya perbaikii malah iklannya makin populer..,,,neg,neg
"Saya sudah membeli paket platinum tapi tidak bisa aktif, aneh",,neg,,neg
Gak sama seperti dulu aplikasi neh.. jadi nyesal dawnload aplikasi neh..,,,,neg
"q. suka sekali krna bisa nonton acra favorit q,disni bisa lht smua yg kita ingin kan",,,pos,pos
Bagus sih tapi ada beberapa sinetron yang pas aku nonton episod nya itu jadi trailer ya tolong di perbaiki 🥺🥲🙏,,,neg,pos
Payah aplikasi nya padahall udah berlangganan tiap nonton movie kadang eror kadang bisa,neg,,,neg
Cuma mengandalkan balasan : Hai sahabat video. Mohon maaf atas ketidaknyamanan yang kamu alami. terus smpe kpan...??? jelas2 semua ulasan tdk nyaman hih... kalo pngin rating bagus ato naik jangan cuma kasih jawaban tapi perbaiki sistem.,neg,,,neg
"Ini aplikasi punya indosiar ya,pantas aja cuma pertandingan persahabatan timnas di acak juga kayak indosiar,,,chanel yg gak bermutu,,,",neg,,,neg
koneksi internet bagus tp tetep gangguan. apk anj emng,neg,,,neg
"Perbaiki siaran masih suka patah patah, dan mundur sendiri, soalnya sudah bayar untuk streaming kualitas harus ditingkatkan",neg,,,neg
Bintang gw kurangi soalnya film2nya gk update film2 terbaru terutama film aksi Korea nd film detektif Conan episodenya gk lengkap,,,neg,neg
"Habis iklan suka buffering, padahal jaringan stabil dan 4G. Telkomsel lagi . Bikin emosi aja bufferingnya5. Gimana mau maju ni aplikasi. Lancar buka youtube, we tv, disney+ kemana mana dari pada aplikasi ini",neg,,,neg
"Saya ikut fantasy game, hadiah gk dikirim ke DANA saya, padahal katanya 30 hari kerja. Temen saya udah pada masuk semua saya sendiri yg belum. Katanya harus premium dulu, temen saya banyak yg gk premium tapi tetep dapet. Aneh gak profesional pihak penyediaannya. Udah dikirimin email gk dibales bales.",,,,neg
"Bahagiaaaaa bingit bisa nonton juga karya dari belahan asia lainnya.🤳😍😁👏 Tapi karena masih new user, masih bingung banyak hal terutama jam tayangnya.😅🤔🤭 Walaupun ada istilah yang nyebut 'ada harga, ada rupa'. Tapi saya berharap sambil terus berdo'a, smoga vidio bisa gratisaaaaan teyuuuuuz.😇 Masuk kategori premium atau platinum, bukan berarti mesti ada bayaran tinggi, lho. 😥😫😱 Mending vidio gak selalu nambah biaya lagi selain kuota, biar nambah terus yang nonton lewat video.😉😍😎👍👌✋",,neg,,pos
"Film lama semua membosankan saya sdh update platinum ,,, tdk ada hal yg menarik",,,neg,neg
"Aplikasi apaab ni, mau nonton gk bebas harus berlangganan, enak pake you tube",,neg,,neg
Top lah aplikasinya cocok untuk aku yg suka nonton bola aman nyaman nonton nya 😁,,,,pos
"Sya udah 2x bayar langganan, tapi paketnya masih blum aktif, ga ada notif sedang di proses atau gimana, ga ada kejelasan, ini gimana ???? Keburu habis ini saya mau nonton bola!!!",,neg,,
makin kesini makin lemot nih apk padahal jaringan 4G,neg,,,
"Tolong dong balikin uang saya,, Padahal saya udah ga buka"" aplikasi y tpi uang saya knpa di potong buat beli VIP, pdahan saya ga ngrasa beli",,neg,,
Tuman!! enak di hapus aja ini aplikasi gk guna Banyak kali iklan nya mana gk bisa di skip 1 menit lagi nunggunya udh itu fram keluar tulisan nya eror,neg,,neg,neg
"apk ini knpa sih ngeselin bngt loading trus heran dikit"" loading muter trus sinyal kuat jg najis bngt",neg,,,neg
jangan di download percuma kagak mau muter iklan doang lancar.,neg,,,neg
Buatin dong opsi buat hapus history tontonan soalnya kadang kepencet film yg gak kita mau tonton terus nanti masuk ke lanjutkan menonton,neg,,,
Tidak bisa memutar video padahl sudah pake paket premier,neg,,,
"Syaa sudah membayar premiere 30 hari di dana. Di dana sudah tertera transaksi berhasil, tapi premiere di Vidio tertanda belum dibayar. Sedangkan saldo saya sudah dipotong untuk pembayaran nya. Tapi belum bisa digunakan premiere nya",,neg,,
Udah platinum streaming masih suka ngebug!!,neg,,,
Kebanyakan iklan dengan jeda yang panjang saya tidak suka,,,neg,neg
Pulsa saya sudah terpotong tapi tidak terdaftar berlangganan gmn ya,,neg,,
"sudah ke potong pulsa xl ya,tapi gak bisa nonton premier league",,neg,,
"Saya menyarankan untuk memisahkan antara sport dan acara TV, karena sangat berat sekali buat nonton Vidio atau live streaming. Sering kebanyakan Buffering",neg,,,
Apakah setelah di update ketika nonton apk nya ga loading mulu? Soalnya setiap nonton selalu loading padahal sinyal lancar buat apk lainnya.,neg,,,
"Saya mau beli premium kok ga bisa ya. pulsa udh ada dan cukup untuk beli, tapi ada pemberitahuan pulsa tidak cukup, sudah 2 kali berlangganan premium, hanya sekarang yg tidak bisa",,neg,,
Aplikasi ini bermasalah. Ga bisa kebuka. Kenapa jd jelek ???,neg,,,neg
"Saya sangat suka di sini karna Vidio nya lengkap tapi yg saya gk suka selalu ada iklan itu ""seperti"" saya ""menonton iklan nya"" bukan sinetron/film yg di tayang kan jadi mohon maaf sekali tapi bisa gk ya iklan nya di kasih 1 saja tidak usah 3?",,,neg,
"Sudah bayar pakai shoope pay kok gak bisa menonton tayangan, 👎🖕",,neg,,
Cukup menarik dan sedikit tertarik lah ya,,,,pos
bagus bisa liat segala film favorit yg ketinggalan,,,pos,pos
"Muncul iklan abis itu bug langsung video nya dan setiap saya komplain pasti di suruh ""Hai kak berlangganan premium"" gigi mbah mu berlangganan aplikasi aja masih nge bug 😅😅",neg,,,
Lumayan bagus sih.tapi tolong dong klo saya lgi asyik nonton jngan buffring sinyal ada paketan ada masa buffring,neg,,,pos
Udah daftar yg platinum sama aja gbs buat nonton bola payah..!!!,,neg,,neg
smga slalu memberikan pelayanan terbaik dan menarik,,,,pos
Maaf ya kak vidio knp gk bisa muter ya padahal uda berlanganan loh knp gk bisa??biasaan ya bisa loh gk lemot kaya gini,neg,,,
Sudah banyak keluhan kenapa tidak di perbaiki. (Masalah iklan),,,neg,neg
saya login pakai nomer hp tapi kode otp gak di kirim-kirim saya tidak bisa login kan rugi!,neg,,,
"setiap nonton live streaming nya pasti eror mulu trus ngelag padahal jaringan baik"" aja, tolong di tindak lanjuti dong, percuma saya beli premium tapi cuman nonton scan loading doang",neg,,,neg
Gak bisa di putar padahal jaringan WiFi loh Gak ngerti deh,neg,,,neg
"Kebanyakan iklan, masih mending disney dan amazon prime",,,neg,
"Gw kira, tv gw rusak ternyata memang ulasannya kurang bagus, masalah putus jaringan terus padahal internet aman sentosa. Waktu jaman pake Netflix aman2 aja, pake vidio malah putus2an terus. Perbaikin dulu bosku aplikasi dengan koneksi, apa lg aplikasi di tv baru nonton 5 menit udah putus",neg,,,neg
murah dan lancar untuk nonton liga inggris,pos,pos,,
Udah beli premium tapi lama aktif premium nya,,neg,,
udah pake paket premium.. malah buffering mulu gangguan ga jelas. padahal internet lancar jaya. yg ada nonton bola malah kehilangan banyak momen. Di web ataupun di Aplikasi sama saja bobrok.. tolong segera perbaiki,neg,,,neg
Saya sudah berlangganan Platinum tp kenapa ga bisa buka Bein Sport 3?,,neg,,
Aplikasi sangat buruk dan mengecewakan . Saya sudah bayar langganan tapi malah ga bisa ditonton. Setiap mau nonton disuruh bayar langganan lagi,,neg,,neg
"Minta tolong pembayaran lewat nomoh hp , pulsa anda tdk mncukupi padahal pulsa nya masih banyak",,neg,,
